,shooting,year,month,day,date
0,9,2020,05,26,05-26
1,9,2019,01,28,01-28
2,9,2018,04,01,04-01
3,9,2018,06,29,06-29
4,9,2018,02,01,02-01
5,9,2018,01,06,01-06
6,8,2018,04,05,04-05
7,8,2018,03,23,03-23
8,8,2015,12,14,12-14
9,8,2017,02,10,02-10
10,8,2017,12,26,12-26
11,8,2019,06,06,06-06
12,8,2020,12,28,12-28
13,8,2016,12,21,12-21
14,8,2018,03,12,03-12
15,8,2015,07,07,07-07
16,8,2019,12,10,12-10
17,8,2016,01,27,01-27
18,8,2017,07,04,07-04
19,8,2020,05,03,05-03
20,8,2017,01,24,01-24
21,7,2019,01,14,01-14
22,7,2015,02,28,02-28
23,7,2020,02,25,02-25
24,7,2016,05,26,05-26
25,7,2020,05,09,05-09
26,7,2019,10,25,10-25
27,7,2018,06,14,06-14
28,7,2018,01,12,01-12
29,7,2016,08,16,08-16
30,7,2019,03,27,03-27
31,7,2018,10,10,10-10
32,7,2015,10,24,10-24
33,7,2016,03,13,03-13
34,7,2020,05,29,05-29
35,7,2020,12,10,12-10
36,7,2021,02,04,02-04
37,7,2020,10,23,10-23
38,7,2015,12,21,12-21
39,7,2018,01,22,01-22
40,7,2021,02,11,02-11
41,7,2020,05,01,05-01
42,7,2018,03,05,03-05
43,7,2016,08,18,08-18
44,7,2019,08,05,08-05
45,7,2015,07,16,07-16
46,7,2018,07,26,07-26
47,7,2017,02,03,02-03
48,7,2019,06,27,06-27
49,7,2015,03,11,03-11
50,7,2015,12,12,12-12
51,7,2020,05,27,05-27
52,7,2015,10,15,10-15
53,7,2018,06,23,06-23
54,7,2015,03,27,03-27
55,7,2020,10,20,10-20
56,7,2019,12,12,12-12
57,6,2020,09,18,09-18
58,6,2015,07,09,07-09
59,6,2020,10,16,10-16
60,6,2017,09,22,09-22
61,6,2015,01,14,01-14
62,6,2019,10,23,10-23
63,6,2020,05,05,05-05
64,6,2016,09,30,09-30
65,6,2016,03,24,03-24
66,6,2020,01,05,01-05
67,6,2020,02,26,02-26
68,6,2016,01,16,01-16
69,6,2020,01,23,01-23
70,6,2017,06,02,06-02
71,6,2018,11,21,11-21
72,6,2019,01,16,01-16
73,6,2020,03,16,03-16
74,6,2020,11,17,11-17
75,6,2017,05,09,05-09
76,6,2021,05,23,05-23
77,6,2017,01,01,01-01
78,6,2016,05,09,05-09
79,6,2017,10,01,10-01
80,6,2019,12,31,12-31
81,6,2017,10,08,10-08
82,6,2019,12,19,12-19
83,6,2019,03,09,03-09
84,6,2018,03,06,03-06
85,6,2016,11,06,11-06
86,6,2017,05,15,05-15
87,6,2020,08,07,08-07
88,6,2015,03,19,03-19
89,6,2018,01,17,01-17
90,6,2015,04,15,04-15
91,6,2019,08,31,08-31
92,6,2017,01,07,01-07
93,6,2020,01,02,01-02
94,6,2018,05,07,05-07
95,6,2015,02,23,02-23
96,6,2019,06,15,06-15
97,6,2020,04,24,04-24
98,6,2017,04,20,04-20
99,6,2019,04,14,04-14
100,6,2019,01,03,01-03
101,6,2019,11,19,11-19
102,6,2015,08,07,08-07
103,6,2020,03,14,03-14
104,6,2017,07,05,07-05
105,6,2019,03,05,03-05
106,6,2016,07,27,07-27
107,6,2020,04,07,04-07
108,6,2019,03,14,03-14
109,6,2020,03,13,03-13
110,6,2018,03,28,03-28
111,6,2016,06,22,06-22
112,6,2015,08,12,08-12
113,6,2015,11,17,11-17
114,6,2015,09,21,09-21
115,6,2016,09,20,09-20
116,6,2016,07,28,07-28
117,6,2017,11,04,11-04
118,6,2020,06,27,06-27
119,6,2019,08,01,08-01
120,6,2017,07,27,07-27
121,6,2018,03,02,03-02
122,6,2015,10,30,10-30
123,6,2020,10,14,10-14
124,6,2018,05,14,05-14
125,6,2018,02,21,02-21
126,6,2018,11,12,11-12
127,6,2017,01,18,01-18
128,6,2015,08,05,08-05
129,6,2018,12,11,12-11
130,6,2019,02,07,02-07
131,6,2017,11,10,11-10
132,6,2018,04,04,04-04
133,6,2020,11,13,11-13
134,6,2019,12,01,12-01
135,6,2015,02,04,02-04
136,6,2017,08,04,08-04
137,6,2019,07,31,07-31
138,6,2017,03,29,03-29
139,6,2021,06,16,06-16
140,6,2021,02,06,02-06
141,6,2020,03,08,03-08
142,6,2015,04,29,04-29
143,6,2015,12,02,12-02
144,6,2018,05,11,05-11
145,6,2020,11,04,11-04
146,6,2016,01,05,01-05
147,5,2019,07,05,07-05
148,5,2020,01,06,01-06
149,5,2017,02,21,02-21
150,5,2018,11,27,11-27
151,5,2017,06,08,06-08
152,5,2020,01,21,01-21
153,5,2016,03,27,03-27
154,5,2019,01,23,01-23
155,5,2021,01,10,01-10
156,5,2015,09,04,09-04
157,5,2016,07,11,07-11
158,5,2021,06,07,06-07
159,5,2017,11,15,11-15
160,5,2019,08,03,08-03
161,5,2015,08,23,08-23
162,5,2020,07,14,07-14
163,5,2020,05,19,05-19
164,5,2019,10,30,10-30
165,5,2018,04,12,04-12
166,5,2018,11,15,11-15
167,5,2015,07,17,07-17
168,5,2017,11,17,11-17
169,5,2017,10,05,10-05
170,5,2016,08,19,08-19
171,5,2015,07,12,07-12
172,5,2016,02,04,02-04
173,5,2016,09,17,09-17
174,5,2021,05,18,05-18
175,5,2021,03,31,03-31
176,5,2018,03,27,03-27
177,5,2015,10,14,10-14
178,5,2019,08,13,08-13
179,5,2019,08,22,08-22
180,5,2015,04,22,04-22
181,5,2016,09,06,09-06
182,5,2021,04,15,04-15
183,5,2018,07,21,07-21
184,5,2020,03,06,03-06
185,5,2018,09,27,09-27
186,5,2021,02,20,02-20
187,5,2017,05,03,05-03
188,5,2019,06,11,06-11
189,5,2018,04,11,04-11
190,5,2019,07,03,07-03
191,5,2020,01,09,01-09
192,5,2019,12,28,12-28
193,5,2019,02,22,02-22
194,5,2021,01,05,01-05
195,5,2018,04,14,04-14
196,5,2019,01,11,01-11
197,5,2015,06,06,06-06
198,5,2017,03,19,03-19
199,5,2017,08,01,08-01
200,5,2019,10,15,10-15
201,5,2020,10,02,10-02
202,5,2021,01,26,01-26
203,5,2020,08,10,08-10
204,5,2015,08,25,08-25
205,5,2018,07,05,07-05
206,5,2018,04,25,04-25
207,5,2020,11,10,11-10
208,5,2019,12,17,12-17
209,5,2020,08,08,08-08
210,5,2018,01,20,01-20
211,5,2019,12,05,12-05
212,5,2020,02,09,02-09
213,5,2019,04,29,04-29
214,5,2020,05,25,05-25
215,5,2015,08,22,08-22
216,5,2016,10,07,10-07
217,5,2015,11,09,11-09
218,5,2017,03,14,03-14
219,5,2015,06,11,06-11
220,5,2020,12,29,12-29
221,5,2018,12,16,12-16
222,5,2020,08,04,08-04
223,5,2015,06,03,06-03
224,5,2017,10,16,10-16
225,5,2018,01,08,01-08
226,5,2017,08,22,08-22
227,5,2017,10,06,10-06
228,5,2020,10,22,10-22
229,5,2015,07,06,07-06
230,5,2019,01,05,01-05
231,5,2021,02,25,02-25
232,5,2016,06,09,06-09
233,5,2016,05,19,05-19
234,5,2020,01,15,01-15
235,5,2018,10,29,10-29
236,5,2019,05,11,05-11
237,5,2018,10,17,10-17
238,5,2020,02,13,02-13
239,5,2015,12,05,12-05
240,5,2020,12,30,12-30
241,5,2018,02,26,02-26
242,5,2019,04,11,04-11
243,5,2021,02,26,02-26
244,5,2016,12,11,12-11
245,5,2015,03,17,03-17
246,5,2016,11,18,11-18
247,5,2017,07,11,07-11
248,5,2017,09,10,09-10
249,5,2015,02,17,02-17
250,5,2019,09,29,09-29
251,5,2020,10,19,10-19
252,5,2015,02,26,02-26
253,5,2020,04,11,04-11
254,5,2017,04,06,04-06
255,5,2018,10,12,10-12
256,5,2018,06,22,06-22
257,5,2018,06,12,06-12
258,5,2018,02,14,02-14
259,5,2018,03,16,03-16
260,5,2021,03,14,03-14
261,5,2017,02,07,02-07
262,5,2016,11,05,11-05
263,5,2021,04,02,04-02
264,5,2017,06,20,06-20
265,5,2019,05,04,05-04
266,5,2016,01,18,01-18
267,5,2016,02,24,02-24
268,5,2021,04,10,04-10
269,5,2015,09,10,09-10
270,5,2020,03,01,03-01
271,5,2015,07,23,07-23
272,5,2019,05,19,05-19
273,5,2018,05,02,05-02
274,5,2017,06,16,06-16
275,5,2016,03,07,03-07
276,5,2015,05,27,05-27
277,5,2019,11,29,11-29
278,5,2017,01,23,01-23
279,5,2016,04,23,04-23
280,5,2019,07,16,07-16
281,5,2020,08,15,08-15
282,5,2015,05,03,05-03
283,5,2019,01,15,01-15
284,5,2020,04,05,04-05
285,5,2015,10,20,10-20
286,5,2018,10,18,10-18
287,5,2020,09,24,09-24
288,5,2015,05,21,05-21
289,5,2016,03,10,03-10
290,5,2015,05,20,05-20
291,5,2016,08,08,08-08
292,5,2020,05,14,05-14
293,5,2020,04,02,04-02
294,5,2018,01,07,01-07
295,5,2016,04,17,04-17
296,5,2020,09,10,09-10
297,5,2018,06,16,06-16
298,5,2015,09,15,09-15
299,5,2019,10,27,10-27
300,5,2019,05,22,05-22
301,5,2016,06,27,06-27
302,5,2017,08,13,08-13
303,5,2019,01,06,01-06
304,5,2016,01,31,01-31
305,5,2015,09,23,09-23
306,5,2021,04,03,04-03
307,5,2019,07,18,07-18
308,5,2015,04,09,04-09
309,5,2015,02,08,02-08
310,5,2018,03,21,03-21
311,5,2016,02,21,02-21
312,5,2020,11,03,11-03
313,5,2017,10,31,10-31
314,5,2015,11,29,11-29
315,5,2015,10,10,10-10
316,5,2016,08,02,08-02
317,5,2017,11,09,11-09
318,5,2017,02,23,02-23
319,5,2016,06,24,06-24
320,5,2017,11,23,11-23
321,5,2015,01,15,01-15
322,5,2017,09,19,09-19
323,5,2017,08,21,08-21
324,5,2016,02,10,02-10
325,5,2019,02,06,02-06
326,5,2019,03,02,03-02
327,5,2019,03,04,03-04
328,5,2016,01,17,01-17
329,5,2018,07,25,07-25
330,5,2018,04,18,04-18
331,5,2021,06,15,06-15
332,5,2019,06,28,06-28
333,5,2018,07,20,07-20
334,5,2020,03,31,03-31
335,5,2017,03,16,03-16
336,5,2015,02,13,02-13
337,5,2017,03,02,03-02
338,4,2017,06,25,06-25
339,4,2016,01,11,01-11
340,4,2017,10,22,10-22
341,4,2018,04,06,04-06
342,4,2017,12,07,12-07
343,4,2015,04,21,04-21
344,4,2018,06,19,06-19
345,4,2021,03,26,03-26
346,4,2019,04,10,04-10
347,4,2017,02,09,02-09
348,4,2018,07,22,07-22
349,4,2019,03,31,03-31
350,4,2019,05,01,05-01
351,4,2015,11,05,11-05
352,4,2021,03,17,03-17
353,4,2019,12,02,12-02
354,4,2020,10,24,10-24
355,4,2015,01,21,01-21
356,4,2017,06,29,06-29
357,4,2016,10,30,10-30
358,4,2017,02,17,02-17
359,4,2016,03,26,03-26
360,4,2016,03,31,03-31
361,4,2020,08,17,08-17
362,4,2020,10,09,10-09
363,4,2018,07,07,07-07
364,4,2020,04,22,04-22
365,4,2021,06,04,06-04
366,4,2015,07,05,07-05
367,4,2017,09,03,09-03
368,4,2019,08,21,08-21
369,4,2019,11,01,11-01
370,4,2017,01,15,01-15
371,4,2016,10,10,10-10
372,4,2021,01,09,01-09
373,4,2017,12,10,12-10
374,4,2018,04,17,04-17
375,4,2019,07,01,07-01
376,4,2019,07,09,07-09
377,4,2020,06,22,06-22
378,4,2018,01,25,01-25
379,4,2015,11,11,11-11
380,4,2017,03,26,03-26
381,4,2018,07,17,07-17
382,4,2018,12,18,12-18
383,4,2015,08,08,08-08
384,4,2015,07,13,07-13
385,4,2016,11,08,11-08
386,4,2016,06,29,06-29
387,4,2015,04,24,04-24
388,4,2017,05,07,05-07
389,4,2019,05,09,05-09
390,4,2019,12,29,12-29
391,4,2018,04,24,04-24
392,4,2015,07,04,07-04
393,4,2021,05,08,05-08
394,4,2018,11,14,11-14
395,4,2019,09,14,09-14
396,4,2017,11,03,11-03
397,4,2019,10,21,10-21
398,4,2016,09,03,09-03
399,4,2019,03,13,03-13
400,4,2017,05,21,05-21
401,4,2018,04,28,04-28
402,4,2017,07,09,07-09
403,4,2020,11,22,11-22
404,4,2018,07,28,07-28
405,4,2019,04,01,04-01
406,4,2018,08,08,08-08
407,4,2016,08,29,08-29
408,4,2015,12,26,12-26
409,4,2019,03,25,03-25
410,4,2016,12,25,12-25
411,4,2020,12,13,12-13
412,4,2018,10,31,10-31
413,4,2017,07,15,07-15
414,4,2020,02,21,02-21
415,4,2015,04,02,04-02
416,4,2021,04,09,04-09
417,4,2018,11,05,11-05
418,4,2021,02,27,02-27
419,4,2021,06,01,06-01
420,4,2018,12,05,12-05
421,4,2017,12,20,12-20
422,4,2016,02,22,02-22
423,4,2019,06,03,06-03
424,4,2017,04,15,04-15
425,4,2016,02,20,02-20
426,4,2016,08,30,08-30
427,4,2020,09,21,09-21
428,4,2020,04,16,04-16
429,4,2017,10,04,10-04
430,4,2020,04,15,04-15
431,4,2018,05,08,05-08
432,4,2015,03,25,03-25
433,4,2015,10,02,10-02
434,4,2015,09,09,09-09
435,4,2020,06,17,06-17
436,4,2019,11,05,11-05
437,4,2018,11,09,11-09
438,4,2016,12,07,12-07
439,4,2019,03,19,03-19
440,4,2020,08,16,08-16
441,4,2020,06,29,06-29
442,4,2018,10,23,10-23
443,4,2016,06,07,06-07
444,4,2019,12,15,12-15
445,4,2016,05,11,05-11
446,4,2017,02,16,02-16
447,4,2016,04,03,04-03
448,4,2016,11,19,11-19
449,4,2015,08,28,08-28
450,4,2020,10,06,10-06
451,4,2016,09,01,09-01
452,4,2016,06,13,06-13
453,4,2015,01,08,01-08
454,4,2015,05,28,05-28
455,4,2017,12,15,12-15
456,4,2019,04,03,04-03
457,4,2016,02,13,02-13
458,4,2020,12,04,12-04
459,4,2015,06,22,06-22
460,4,2018,02,06,02-06
461,4,2016,01,30,01-30
462,4,2015,01,27,01-27
463,4,2015,11,15,11-15
464,4,2020,01,30,01-30
465,4,2018,11,04,11-04
466,4,2020,07,24,07-24
467,4,2021,02,05,02-05
468,4,2019,08,17,08-17
469,4,2017,08,29,08-29
470,4,2019,06,01,06-01
471,4,2015,03,13,03-13
472,4,2016,10,18,10-18
473,4,2017,07,31,07-31
474,4,2019,09,26,09-26
475,4,2019,11,07,11-07
476,4,2021,05,31,05-31
477,4,2020,05,28,05-28
478,4,2020,08,29,08-29
479,4,2019,10,17,10-17
480,4,2017,10,29,10-29
481,4,2015,12,13,12-13
482,4,2021,05,14,05-14
483,4,2019,03,10,03-10
484,4,2019,02,09,02-09
485,4,2019,09,18,09-18
486,4,2020,05,07,05-07
487,4,2016,05,29,05-29
488,4,2016,04,30,04-30
489,4,2015,02,20,02-20
490,4,2015,11,10,11-10
491,4,2019,06,09,06-09
492,4,2020,11,05,11-05
493,4,2017,03,04,03-04
494,4,2016,10,08,10-08
495,4,2020,06,18,06-18
496,4,2019,05,30,05-30
497,4,2015,08,03,08-03
498,4,2019,09,16,09-16
499,4,2018,04,08,04-08
500,4,2017,09,21,09-21
501,4,2018,09,16,09-16
502,4,2017,04,29,04-29
503,4,2015,07,03,07-03
504,4,2020,10,18,10-18
505,4,2019,10,01,10-01
506,4,2016,07,05,07-05
507,4,2019,11,04,11-04
508,4,2018,05,13,05-13
509,4,2021,04,13,04-13
510,4,2019,11,20,11-20
511,4,2016,08,01,08-01
512,4,2018,01,16,01-16
513,4,2020,02,16,02-16
514,4,2017,04,24,04-24
515,4,2016,02,11,02-11
516,4,2019,10,06,10-06
517,4,2016,02,18,02-18
518,4,2018,04,29,04-29
519,4,2021,01,21,01-21
520,4,2021,04,19,04-19
521,4,2016,05,22,05-22
522,4,2017,07,23,07-23
523,4,2015,03,21,03-21
524,4,2015,09,05,09-05
525,4,2016,11,11,11-11
526,4,2020,10,27,10-27
527,4,2021,04,01,04-01
528,4,2015,03,09,03-09
529,4,2015,08,19,08-19
530,4,2020,02,14,02-14
531,4,2017,02,11,02-11
532,4,2018,08,07,08-07
533,4,2015,10,28,10-28
534,4,2018,06,06,06-06
535,4,2018,02,17,02-17
536,4,2015,08,09,08-09
537,4,2019,11,06,11-06
538,4,2016,09,16,09-16
539,4,2015,12,24,12-24
540,4,2020,01,20,01-20
541,4,2019,08,09,08-09
542,4,2020,03,27,03-27
543,4,2019,02,12,02-12
544,4,2017,07,26,07-26
545,4,2020,02,04,02-04
546,4,2018,12,28,12-28
547,4,2015,01,06,01-06
548,4,2018,01,28,01-28
549,4,2016,11,27,11-27
550,4,2021,01,11,01-11
551,4,2016,11,29,11-29
552,4,2017,07,03,07-03
553,4,2019,01,04,01-04
554,4,2016,11,22,11-22
555,4,2020,06,13,06-13
556,4,2019,12,27,12-27
557,4,2020,10,04,10-04
558,4,2018,07,01,07-01
559,4,2017,07,17,07-17
560,4,2019,10,12,10-12
561,4,2017,06,13,06-13
562,4,2019,01,13,01-13
563,4,2018,01,26,01-26
564,4,2018,03,20,03-20
565,4,2015,12,22,12-22
566,4,2018,12,31,12-31
567,4,2015,12,10,12-10
568,4,2018,05,05,05-05
569,4,2017,10,19,10-19
570,4,2020,05,06,05-06
571,4,2017,06,07,06-07
572,4,2020,11,19,11-19
573,4,2019,12,14,12-14
574,4,2019,11,11,11-11
575,4,2018,10,08,10-08
576,4,2020,12,11,12-11
577,4,2019,12,21,12-21
578,4,2016,12,24,12-24
579,4,2018,02,10,02-10
580,4,2018,08,05,08-05
581,4,2018,05,06,05-06
582,4,2016,08,13,08-13
583,4,2016,03,17,03-17
584,4,2018,08,09,08-09
585,4,2016,07,04,07-04
586,4,2020,07,29,07-29
587,4,2018,01,23,01-23
588,4,2020,08,31,08-31
589,4,2016,06,14,06-14
590,4,2017,11,08,11-08
591,4,2015,02,03,02-03
592,4,2018,07,03,07-03
593,4,2015,07,25,07-25
594,4,2015,08,27,08-27
595,4,2016,09,26,09-26
596,4,2019,08,30,08-30
597,4,2016,06,16,06-16
598,4,2020,12,18,12-18
599,4,2016,06,10,06-10
600,4,2016,02,23,02-23
601,4,2019,06,05,06-05
602,4,2016,04,28,04-28
603,4,2018,08,01,08-01
604,4,2016,05,14,05-14
605,4,2020,03,24,03-24
606,4,2021,04,16,04-16
607,4,2016,08,05,08-05
608,4,2018,10,14,10-14
609,4,2016,07,17,07-17
610,4,2021,02,21,02-21
611,4,2015,06,09,06-09
612,4,2015,07,30,07-30
613,4,2019,04,20,04-20
614,4,2017,01,30,01-30
615,4,2018,08,13,08-13
616,4,2016,02,05,02-05
617,4,2017,07,25,07-25
618,4,2017,08,02,08-02
619,4,2015,01,26,01-26
620,4,2017,01,26,01-26
621,4,2019,02,23,02-23
622,4,2016,03,11,03-11
623,4,2017,05,16,05-16
624,4,2018,12,12,12-12
625,4,2018,06,25,06-25
626,4,2021,04,12,04-12
627,4,2017,06,12,06-12
628,4,2017,06,05,06-05
629,4,2020,03,15,03-15
630,4,2016,12,27,12-27
631,4,2015,04,08,04-08
632,4,2020,10,08,10-08
633,4,2020,10,17,10-17
634,4,2019,07,13,07-13
635,4,2015,11,04,11-04
636,4,2018,03,19,03-19
637,4,2020,05,23,05-23
638,4,2017,01,28,01-28
639,4,2018,06,07,06-07
640,4,2015,01,07,01-07
641,4,2015,05,08,05-08
642,4,2019,07,07,07-07
643,4,2017,02,26,02-26
644,4,2019,09,02,09-02
645,4,2018,03,29,03-29
646,4,2015,10,05,10-05
647,4,2021,01,31,01-31
648,4,2017,02,19,02-19
649,4,2019,10,14,10-14
650,4,2017,12,17,12-17
651,4,2016,03,20,03-20
652,4,2020,01,01,01-01
653,4,2015,08,14,08-14
654,4,2021,05,01,05-01
655,4,2015,10,16,10-16
656,4,2016,04,26,04-26
657,4,2015,03,10,03-10
658,4,2020,06,03,06-03
659,4,2018,08,03,08-03
660,4,2020,03,20,03-20
661,4,2016,03,19,03-19
662,4,2017,05,12,05-12
663,4,2016,09,02,09-02
664,4,2018,03,08,03-08
665,4,2019,07,02,07-02
666,4,2015,07,02,07-02
667,4,2020,08,19,08-19
668,4,2016,06,26,06-26
669,4,2018,04,09,04-09
670,4,2015,09,22,09-22
671,4,2018,04,10,04-10
672,4,2017,06,24,06-24
673,4,2016,10,25,10-25
674,4,2016,12,06,12-06
675,4,2018,09,24,09-24
676,4,2015,10,11,10-11
677,4,2015,06,23,06-23
678,4,2020,12,17,12-17
679,4,2018,08,19,08-19
680,4,2020,01,27,01-27
681,4,2020,11,01,11-01
682,4,2015,08,15,08-15
683,4,2020,06,25,06-25
684,4,2019,09,17,09-17
685,4,2017,04,25,04-25
686,4,2017,01,04,01-04
687,4,2015,04,04,04-04
688,4,2021,04,17,04-17
689,4,2019,02,26,02-26
690,4,2018,10,05,10-05
691,4,2016,05,04,05-04
692,4,2017,05,23,05-23
693,4,2020,08,25,08-25
694,3,2018,01,27,01-27
695,3,2018,07,11,07-11
696,3,2015,08,29,08-29
697,3,2016,01,29,01-29
698,3,2020,11,09,11-09
699,3,2017,09,27,09-27
700,3,2018,05,19,05-19
701,3,2020,10,26,10-26
702,3,2016,10,14,10-14
703,3,2015,01,28,01-28
704,3,2017,08,24,08-24
705,3,2015,03,14,03-14
706,3,2017,07,21,07-21
707,3,2017,08,20,08-20
708,3,2018,03,11,03-11
709,3,2017,04,04,04-04
710,3,2015,11,19,11-19
711,3,2018,08,12,08-12
712,3,2017,06,30,06-30
713,3,2016,02,25,02-25
714,3,2015,11,20,11-20
715,3,2021,03,13,03-13
716,3,2018,03,09,03-09
717,3,2021,04,20,04-20
718,3,2019,06,18,06-18
719,3,2015,04,25,04-25
720,3,2017,12,25,12-25
721,3,2015,09,27,09-27
722,3,2020,01,12,01-12
723,3,2017,05,26,05-26
724,3,2016,12,30,12-30
725,3,2021,04,14,04-14
726,3,2016,06,23,06-23
727,3,2017,02,28,02-28
728,3,2019,11,28,11-28
729,3,2015,03,01,03-01
730,3,2016,04,15,04-15
731,3,2015,11,06,11-06
732,3,2017,05,10,05-10
733,3,2018,08,25,08-25
734,3,2019,11,16,11-16
735,3,2019,11,15,11-15
736,3,2017,02,12,02-12
737,3,2016,12,02,12-02
738,3,2018,09,05,09-05
739,3,2020,11,27,11-27
740,3,2018,05,23,05-23
741,3,2015,09,24,09-24
742,3,2018,12,06,12-06
743,3,2019,03,16,03-16
744,3,2015,05,29,05-29
745,3,2018,06,20,06-20
746,3,2018,08,31,08-31
747,3,2016,02,16,02-16
748,3,2018,04,20,04-20
749,3,2019,10,18,10-18
750,3,2017,02,08,02-08
751,3,2016,03,23,03-23
752,3,2019,12,16,12-16
753,3,2016,11,03,11-03
754,3,2019,03,30,03-30
755,3,2019,09,15,09-15
756,3,2016,07,16,07-16
757,3,2017,09,05,09-05
758,3,2016,11,28,11-28
759,3,2020,04,28,04-28
760,3,2018,06,13,06-13
761,3,2017,10,28,10-28
762,3,2017,11,11,11-11
763,3,2020,06,06,06-06
764,3,2019,04,07,04-07
765,3,2015,03,31,03-31
766,3,2017,07,19,07-19
767,3,2020,02,29,02-29
768,3,2017,09,06,09-06
769,3,2019,08,19,08-19
770,3,2020,11,07,11-07
771,3,2017,04,13,04-13
772,3,2017,12,19,12-19
773,3,2016,07,07,07-07
774,3,2018,11,22,11-22
775,3,2015,01,17,01-17
776,3,2018,12,26,12-26
777,3,2015,12,27,12-27
778,3,2016,03,16,03-16
779,3,2020,05,17,05-17
780,3,2016,01,19,01-19
781,3,2019,04,30,04-30
782,3,2015,05,17,05-17
783,3,2019,11,13,11-13
784,3,2019,06,25,06-25
785,3,2016,06,21,06-21
786,3,2016,10,31,10-31
787,3,2017,07,08,07-08
788,3,2020,02,02,02-02
789,3,2017,01,22,01-22
790,3,2020,08,09,08-09
791,3,2020,11,08,11-08
792,3,2015,01,11,01-11
793,3,2018,12,30,12-30
794,3,2020,09,06,09-06
795,3,2019,09,03,09-03
796,3,2016,08,03,08-03
797,3,2017,03,13,03-13
798,3,2018,01,29,01-29
799,3,2018,11,11,11-11
800,3,2020,11,15,11-15
801,3,2018,05,29,05-29
802,3,2018,02,03,02-03
803,3,2017,02,14,02-14
804,3,2021,03,20,03-20
805,3,2020,01,16,01-16
806,3,2019,05,07,05-07
807,3,2017,05,20,05-20
808,3,2021,02,07,02-07
809,3,2015,03,24,03-24
810,3,2018,07,04,07-04
811,3,2019,09,04,09-04
812,3,2020,08,21,08-21
813,3,2017,04,26,04-26
814,3,2016,12,20,12-20
815,3,2016,03,21,03-21
816,3,2019,10,26,10-26
817,3,2019,10,08,10-08
818,3,2016,08,11,08-11
819,3,2016,10,12,10-12
820,3,2017,12,30,12-30
821,3,2016,10,19,10-19
822,3,2021,02,15,02-15
823,3,2021,05,20,05-20
824,3,2019,09,05,09-05
825,3,2016,04,19,04-19
826,3,2017,11,18,11-18
827,3,2019,07,17,07-17
828,3,2016,08,25,08-25
829,3,2019,06,24,06-24
830,3,2017,09,01,09-01
831,3,2016,05,24,05-24
832,3,2016,06,12,06-12
833,3,2018,07,15,07-15
834,3,2021,05,22,05-22
835,3,2017,03,18,03-18
836,3,2016,09,12,09-12
837,3,2017,07,13,07-13
838,3,2017,02,06,02-06
839,3,2018,07,08,07-08
840,3,2016,08,24,08-24
841,3,2018,03,03,03-03
842,3,2018,05,01,05-01
843,3,2016,12,23,12-23
844,3,2016,12,01,12-01
845,3,2019,10,11,10-11
846,3,2017,03,17,03-17
847,3,2021,03,12,03-12
848,3,2020,12,08,12-08
849,3,2016,08,09,08-09
850,3,2018,09,29,09-29
851,3,2015,06,13,06-13
852,3,2016,07,23,07-23
853,3,2021,05,24,05-24
854,3,2020,12,09,12-09
855,3,2018,02,09,02-09
856,3,2019,04,12,04-12
857,3,2020,07,16,07-16
858,3,2018,12,01,12-01
859,3,2019,05,02,05-02
860,3,2018,07,10,07-10
861,3,2016,10,23,10-23
862,3,2021,01,18,01-18
863,3,2020,02,07,02-07
864,3,2019,09,23,09-23
865,3,2015,05,23,05-23
866,3,2015,03,08,03-08
867,3,2016,03,12,03-12
868,3,2015,02,02,02-02
869,3,2020,01,22,01-22
870,3,2017,01,16,01-16
871,3,2018,07,18,07-18
872,3,2019,04,22,04-22
873,3,2018,11,28,11-28
874,3,2021,05,04,05-04
875,3,2019,03,20,03-20
876,3,2021,03,18,03-18
877,3,2016,09,15,09-15
878,3,2020,11,21,11-21
879,3,2017,02,22,02-22
880,3,2018,09,14,09-14
881,3,2019,02,11,02-11
882,3,2017,11,02,11-02
883,3,2016,06,01,06-01
884,3,2019,12,22,12-22
885,3,2015,03,05,03-05
886,3,2016,04,12,04-12
887,3,2019,12,23,12-23
888,3,2016,03,01,03-01
889,3,2018,12,10,12-10
890,3,2020,08,18,08-18
891,3,2015,11,24,11-24
892,3,2015,05,05,05-05
893,3,2016,10,27,10-27
894,3,2017,01,19,01-19
895,3,2016,11,25,11-25
896,3,2019,03,01,03-01
897,3,2016,06,18,06-18
898,3,2016,06,30,06-30
899,3,2019,04,18,04-18
900,3,2015,05,19,05-19
901,3,2015,11,22,11-22
902,3,2021,01,17,01-17
903,3,2019,10,13,10-13
904,3,2015,03,18,03-18
905,3,2021,05,19,05-19
906,3,2019,03,12,03-12
907,3,2016,01,06,01-06
908,3,2017,11,05,11-05
909,3,2020,07,05,07-05
910,3,2019,05,20,05-20
911,3,2016,04,27,04-27
912,3,2021,03,09,03-09
913,3,2018,06,01,06-01
914,3,2016,12,18,12-18
915,3,2021,04,24,04-24
916,3,2018,02,27,02-27
917,3,2020,05,16,05-16
918,3,2015,05,12,05-12
919,3,2017,08,25,08-25
920,3,2016,11,15,11-15
921,3,2020,02,24,02-24
922,3,2017,02,13,02-13
923,3,2015,09,06,09-06
924,3,2017,07,28,07-28
925,3,2017,08,07,08-07
926,3,2020,03,18,03-18
927,3,2017,04,22,04-22
928,3,2015,02,10,02-10
929,3,2020,01,11,01-11
930,3,2016,12,31,12-31
931,3,2016,06,04,06-04
