,shooting,year,month,day,date
1720,2,2020,12,24,12-24
1721,2,2015,09,14,09-14
1722,2,2017,06,23,06-23
1723,2,2018,10,27,10-27
1724,2,2021,04,29,04-29
1725,2,2021,01,14,01-14
1726,2,2016,04,20,04-20
1727,2,2016,10,05,10-05
1728,2,2019,05,21,05-21
1729,2,2020,07,22,07-22
1730,2,2021,04,07,04-07
1731,2,2015,09,11,09-11
1732,2,2017,06,04,06-04
1733,2,2018,09,15,09-15
1734,2,2018,01,21,01-21
1735,2,2021,03,11,03-11
1736,2,2019,09,13,09-13
1737,2,2020,09,12,09-12
1738,1,2017,08,12,08-12
1739,1,2015,04,11,04-11
1740,1,2017,06,27,06-27
1741,1,2020,10,01,10-01
1742,1,2015,08,31,08-31
1743,1,2019,05,28,05-28
1744,1,2017,05,11,05-11
1745,1,2020,09,23,09-23
1746,1,2019,01,31,01-31
1747,1,2018,11,18,11-18
1748,1,2015,11,12,11-12
1749,1,2020,02,18,02-18
1750,1,2018,09,26,09-26
1751,1,2018,04,03,04-03
1752,1,2018,03,25,03-25
1753,1,2019,03,06,03-06
1754,1,2021,03,08,03-08
1755,1,2016,03,14,03-14
1756,1,2018,03,04,03-04
1757,1,2016,04,02,04-02
1758,1,2021,03,28,03-28
1759,1,2020,05,30,05-30
1760,1,2017,12,08,12-08
1761,1,2017,12,03,12-03
1762,1,2015,06,24,06-24
1763,1,2019,04,06,04-06
1764,1,2018,07,29,07-29
1765,1,2017,09,07,09-07
1766,1,2020,12,26,12-26
1767,1,2021,05,10,05-10
1768,1,2016,02,06,02-06
1769,1,2020,08,13,08-13
1770,1,2016,03,03,03-03
1771,1,2019,10,24,10-24
1772,1,2021,06,09,06-09
1773,1,2018,01,15,01-15
1774,1,2019,03,15,03-15
1775,1,2020,01,04,01-04
1776,1,2016,07,14,07-14
1777,1,2021,01,25,01-25
1778,1,2020,10,10,10-10
1779,1,2017,09,02,09-02
1780,1,2018,10,25,10-25
1781,1,2020,09,02,09-02
1782,1,2017,12,12,12-12
1783,1,2020,06,08,06-08
1784,1,2018,06,02,06-02
1785,1,2015,07,19,07-19
1786,1,2016,09,18,09-18
1787,1,2016,07,12,07-12
1788,1,2015,01,30,01-30
1789,1,2018,08,14,08-14
